iter	Passed	Remaining
0	138	48291
1	190	33232
2	253	29351
3	332	28791
4	340	23483
5	348	19969
6	332	16286
7	396	16964
8	404	15322
9	419	14250
10	504	15546
11	512	14422
12	584	15164
13	597	14337
14	622	13913
15	652	13622
16	659	12916
17	666	12288
18	682	11898
19	698	11526
20	710	11134
21	717	10699
22	725	103023	702	9548
24	716	9313
25	723	9020
26	745	8915
27	752	8652
28	762	8444
29	772	8244
30	782	8050
31	789	7847
32	800	7689
33	813	7563
34	820	7385
35	827	7215
36	835	7065
37	847	6956
38	853	6805
39	861	6676
40	868	6547
41	877	6435
42	883	6309
43	892	6207
44	898	6091
45	906	5992
46	916	5910
47	930	5852
48	945	5808
49	960	5763
50	978	5735
51	985	5649
52	998	5596
53	1009	5535
54	1016	5454
55	1023	5373
56	1030	5295
57	1037	5224
58	1045	5156
59	1057	5111
60	1063	5040
61	1070	4973
62	1078	4911
63	1089	4868
64	1095	4801
65	1101	4738
66	1106	4675
67	1119	4643
68	1126	4586
69	1133	4534
70	1141	4486
71	1162	4490
72	1175	4462
73	1180	4403
74	1185	4347
75	1191	4295
76	1198	4247
77	1204	4201
78	1210	4151
79	1216	4106
80	1221	4056
81	1226	4009
82	1231	3962
83	1242	3933
84	1247	3889
85	1251	3842
86	1257	3800
87	1262	3757
88	1266	3713
89	1270	3671
90	1280	3644
91	1286	3607
92	1293	3573
93	1301	3543
94	1309	3515
95	1316	3482
96	1324	3453
97	1329	3417
98	1336	3387
99	1341	3354
100	1352	3335
101	1359	3306
102	1366	3275
103	1372	3245
104	1380	3220
105	1389	3198
106	1395	3168
107	1403	3145
108	1409	3115
109	1415	3088
110	1422	3061
111	1428	3036
112	1434	3008
113	1440	2981
114	1446	2954
115	1450	2925
116	1455	2899
117	1461	2872
118	1465	2845
119	1472	2821
120	1476	2795
121	1482	2771
122	1487	2745
123	1492	2720
124	1498	2696
125	1503	2672
126	1508	2648
127	1512	2623
128	1516	2598
129	1522	2576
130	1527	2553
131	1533	2532
132	1538	2510
133	1544	2488
134	1550	2469
135	1555	2448
136	1564	2432
137	1571	2413
138	1577	2394
139	1582	2373
140	1592	2360
141	1605	2351
142	1617	2340
143	1622	2321
144	1632	2307
145	1637	2288
146	1644	2271
147	1650	2252
148	1660	2240
149	1666	2221
150	1672	2203
151	1677	2185
152	1685	2169
153	1691	2152
154	1703	2142
155	1715	2133
156	1721	2115
157	1728	2100
158	1734	2083
159	1742	2069
160	1753	2058
161	1758	2040
162	1763	2023
163	1770	2007
164	1776	1991
165	1784	1978
166	1790	1961
167	1803	1953
168	1808	1937
169	1814	1920
170	1819	1904
171	1824	1888
172	1831	1873
173	1837	1858
174	1843	1843
175	1849	1828
176	1855	1813
177	1860	1797
178	1864	1781
179	1872	1768
180	1877	1753
181	1888	1742
182	1893	1727
183	1900	1714
184	1925	1717
185	1933	1705
186	1938	1689
187	1947	1677
188	1956	1666
189	1962	1652
190	1974	1643
191	1978	1628
192	1988	1617
193	1993	1602
194	2004	1593
195	2009	1578
196	2015	1565
197	2019	1550
198	2023	1535
199	2030	1522
200	2035	1508
201	2041	1495
202	2045	1481
203	2050	1467
204	2055	1454
205	2059	1439
206	2064	1426
207	2075	1417
208	2081	1404
209	2089	1393
210	2095	1380
211	2099	1366
212	2110	1357
213	2117	1345
214	2124	1333
215	2130	1321
216	2135	1309
217	2142	1297
218	2150	1286
219	2157	1275
220	2164	1263
221	2173	1253
222	2179	1241
223	2186	1229
224	2192	1218
225	2203	1209
226	2213	1199
227	2221	1188
228	2234	1180
229	2247	1172
230	2263	1165
231	2269	1154
232	2283	1146
233	2294	1137
234	2303	1127
235	2310	1116
236	2317	1104
237	2322	1092
238	2327	1080
239	2332	1069
240	2337	1057
241	2342	1045
242	2347	1033
243	2352	1021
244	2358	1010
245	2363	999
246	2368	987
247	2374	976
248	2380	965
249	2384	953
250	2389	942
251	2393	930
252	2398	919
253	2403	908
254	2409	897
255	2414	886
256	2418	875
257	2428	865
258	2434	855
259	2440	844
260	2445	833
261	2451	823
262	2457	812
263	2462	802
264	2466	791
265	2471	780
266	2479	770
267	2484	760
268	2492	750
269	2496	739
270	2502	729
271	2506	718
272	2511	708
273	2516	697
274	2520	687
275	2525	676
276	2532	667
277	2536	656
278	2543	647
279	2547	636
280	2552	626
281	2556	616
282	2561	606
283	2567	596
284	2573	586
285	2579	577
286	2584	567
287	2594	558
288	2598	548
289	2603	538
290	2608	528
291	2614	519
292	2619	509
293	2623	499
294	2629	490
295	2633	480
296	2638	470
297	2644	461
298	2648	451
299	2656	442
300	2660	433
301	2664	423
302	2670	414
303	2674	404
304	2680	395
305	2684	386
306	2689	376
307	2694	367
308	2699	358
309	2703	348
310	2707	339
311	2711	330
312	2715	321
313	2313	2769314	2314	2773315	2315	2781316	2316	2785317	2317	2792318	2318	2797319	2319	2804320	2320	2808321	2321	2813322	2322	2821323	2323	2825324	2324	2832325	2325	2836326	2326	2841327	2327	2847328	2328	2852	182
329	2858	173
330	2864	164
331	2870	155
332	2875	146
333	2882	138
334	2887	129
335	2892	120
336	2899	111
337	2903	103
338	2909	94
339	2913	85
340	2919	77
341	2925	68
342	2929	59
343	2937	51
344	2942	42
345	2949	34
346	2954	25
347	2958	17
348	2963	8
349	2970	0
